1,Afrikaans,af
2,Albanian,sq
3,Amharic,am
4,Arabic,ar
5,Armenian,hy
6,Assamese,as
7,Azerbaijani,az
8,Bangla,bn
9,Bashkir,ba
10,Bosnian (Latin),bs
11,Bulgarian,bg
12,Cantonese (Traditional),yue
13,Catalan,ca
14,Chinese (Literary),lzh
15,Chinese Simplified,zh-Hans
16,Chinese Traditional,zh-Hant
17,Croatian,hr
18,Czech,cs
19,Danish,da
20,Dari,prs
21,Divehi,dv
22,Dutch,nl
23,English,en
24,Estonian,et
25,Fijian,fj
26,Filipino,fil
27,Finnish,fi
28,French,fr
29,French (Canada),fr-ca
30,Georgian,ka
31,German,de
32,Greek,el
33,Gujarati,gu
34,Haitian Creole,ht
35,Hebrew,he
36,Hindi,hi
37,Hmong Daw,mww
38,Hungarian,hu
39,Icelandic,is
40,Indonesian,id
41,Inuinnaqtun,ikt
42,Inuktitut,iu
43,Inuktitut (Latin),iu-Latn
44,Irish,ga
45,Italian,it
46,Japanese,ja
47,Kannada,kn
48,Kazakh,kk
49,Khmer,km
50,Klingon,tlh-Latn
51,Klingon (plqaD),tlh-Piqd
52,Korean,ko
53,Kurdish (Central),ku
54,Kurdish (Northern),kmr
55,Kyrgyz,ky
56,Lao,lo
57,Latvian,lv
58,Lithuanian,lt
59,Macedonian,mk
60,Malagasy,mg
61,Malay,ms
62,Malayalam,ml
63,Maltese,mt
64,Maori,mi
65,Marathi,mr
66,Mongolian (Cyrillic),mn-Cyrl
67,Mongolian (Traditional),mn-Mong
68,Myanmar,my
69,Nepali,ne
70,Norwegian,nb
71,Odia,or
72,Pashto,ps
73,Persian,fa
74,Polish,pl
75,Portuguese (Brazil),pt
76,Portuguese (Portugal),pt-pt
77,Punjabi,pa
78,Queretaro Otomi,otq
79,Romanian,ro
80,Russian,ru
81,Samoan,sm
82,Serbian (Cyrillic),sr-Cyrl
83,Serbian (Latin),sr-Latn
84,Slovak,sk
85,Slovenian,sl
86,Somali,so
87,Spanish,es
88,Swahili,sw
89,Swedish,sv
90,Tahitian,ty
91,Tamil,ta
92,Tatar,tt
93,Telugu,te
94,Thai,th
95,Tibetan,bo
96,Tigrinya,ti
97,Tongan,to
98,Turkish,tr
99,Turkmen,tk
100,Ukrainian,uk
101,Upper Sorbian,hsb
102,Urdu,ur
103,Uyghur,ug
104,Uzbek (Latin),uz
105,Vietnamese,vi
106,Welsh,cy
107,Yucatec Maya,yua
108,Zulu,zu
